zip,hhi
00901,25810
01906,100819
02052,214801
02871,119135
03894,84660
06095,107548
06518,105227
07030,176943
10011,146571
10017,132518
10023,157866
10036,100225
10707,141837
10801,83534
11101,116807
14127,106071
17112,101784
20001,138730
20002,114482
20003,159604
20004,161359
20005,111960
20006,36019
20007,142783
20015,250001
20016,179107
20024,102623
20036,105800
20170,157875
20190,126928
20814,150401
20815,198243
20852,121496
20854,250001
21037,135541
22015,166016
22026,114512
22043,143836
22066,250001
22101,250001
22102,153816
22152,159557
22153,169638
22191,107993
22192,122005
22202,141933
22203,132402
22204,109277
22205,192951
22206,136472
22207,237126
22209,110824
22301,188211
22302,127037
22304,97629
22305,109124
22306,95026
22307,140559
22308,204177
22314,144359
22315,156230
22554,148268
23323,105912
23505,55678
25425,90059
27526,105055
28207,212348
28785,63750
28786,56047
29206,89726
29223,56300
29407,80568
29455,117422
29464,107215
29607,69249
29909,91376
29910,96122
29927,70718
29928,97979
30004,147996
30014,71055
30019,115275
30022,153022
30033,107647
30040,133028
30041,141825
30064,118511
30066,112067
30068,142911
30075,153743
30076,113166
30082,114093
30087,89484
30092,77339
30093,50690
30097,127464
30103,76055
30110,69725
30117,58463
30120,83892
30121,77496
30122,64072
30127,104997
30143,79879
30165,63915
30185,68516
30188,105395
30189,109324
30213,92681
30233,67831
30253,81601
30263,79752
30269,111093
30281,70587
30305,107836
30309,111894
30312,75963
30316,96491
30318,79222
30319,132847
30324,93815
30327,182317
30328,113736
30336,53367
30337,49472
30338,122931
30339,101049
30340,57216
30341,81774
30342,117865
30349,64732
30350,84633
30360,83239
30401,50935
30415,61295
30427,58116
30428,65037
30439,51181
30442,36385
30457,39296
30458,50036
30461,77167
30467,48728
30474,54713
30501,58214
30506,95224
30511,85237
30519,98846
30528,69592
30534,88953
30542,92644
30605,48188
30606,61397
30607,63727
30621,119167
30622,127530
30656,88431
30677,103165
30750,103589
30802,88395
30824,54214
30907,83349
30909,67710
31005,107071
31021,50956
31029,79529
31055,50394
31069,75526
31082,51932
31088,81507
31201,22936
31210,82158
31211,51595
31216,70166
31301,51175
31302,67256
31305,36339
31308,65395
31309,62500
31312,98367
31313,59443
31316,68006
31320,68958
31321,70781
31322,91293
31324,110767
31326,82196
31328,105669
31329,72163
31331,60669
31333,29650
31401,50182
31404,49805
31405,62123
31406,66084
31407,83954
31408,40109
31410,97225
31411,122723
31419,70734
31501,37203
31503,55042
31510,52721
31513,42977
31516,57394
31520,37652
31522,106413
31523,90148
31525,65896
31527,76445
31533,44211
31535,54208
31537,49613
31539,38321
31542,46875
31543,44576
31545,44260
31546,65065
31548,77913
31549,35144
31550,53438
31551,46887
31552,45833
31553,46205
31554,52175
31555,67241
31558,67761
31560,42845
31561,144375
31563,55625
31566,33184
31569,72275
31601,34846
31602,55980
31605,73991
31620,51375
31622,54038
31632,81178
31634,55625
31635,43815
31636,64340
31637,59138
31639,51071
31643,43324
31707,49179
31709,41400
31711,49107
31714,35324
31730,46304
31744,59310
31763,84593
31768,44895
31775,57868
31788,51775
31792,49045
31793,79018
31794,44569
31904,65625
32034,97756
32043,80698
32081,128316
32082,122807
32097,89270
32176,72248
32207,60875
32257,75180
32461,146393
32601,30878
32789,100213
32963,142985
33037,80911
33131,143114
33143,80924
33156,134720
33173,83053
33179,61526
33409,65206
33458,107626
33496,111754
33511,77383
33547,121769
33765,61910
34275,84503
35213,161902
35223,155079
35242,116053
35763,125356
35802,72195
35824,93066
37064,121492
37204,109341
39042,88780
39773,38914
39842,41181
39862,46500
40121,74224
40502,73939
43015,99622
43017,133116
45430,107500
45431,80058
46268,63322
48080,69884
48168,173671
53058,110234
53202,68482
53562,97241
54016,111402
55330,111481
59901,70391
59937,75512
60045,225551
60525,113718
60611,124621
60631,117688
63105,119446
63141,122917
64083,99575
64106,57680
64116,63352
64152,110421
66606,60862
67220,72861
70461,88035
72762,80678
77002,85436
77005,215708
77056,101932
77354,112093
77459,132758
78254,115823
78660,109522
78703,144637
79902,45333
81635,68865
82001,74149
82601,68526
84770,68174
87544,135108
90069,110705
92037,141822
94065,213361
94107,186123
94568,205046
94588,186569
